ID,location,date,vaccine,total_vaccinations
229,Belgium,23/04/2021,Johnson&Johnson,0
230,Belgium,23/04/2021,Moderna,261679
231,Belgium,23/04/2021,Oxford/AstraZeneca,839783
232,Belgium,23/04/2021,Pfizer/BioNTech,2453653
233,Belgium,30/04/2021,Johnson&Johnson,3035
234,Belgium,30/04/2021,Moderna,288760
235,Belgium,30/04/2021,Oxford/AstraZeneca,905318
236,Belgium,30/04/2021,Pfizer/BioNTech,2809703
237,Belgium,7/05/2021,Johnson&Johnson,23954
238,Belgium,7/05/2021,Moderna,346682
239,Belgium,7/05/2021,Oxford/AstraZeneca,1008144
240,Belgium,7/05/2021,Pfizer/BioNTech,3361999
241,Belgium,14/05/2021,Johnson&Johnson,29724
242,Belgium,14/05/2021,Moderna,401238
243,Belgium,14/05/2021,Oxford/AstraZeneca,1101240
244,Belgium,14/05/2021,Pfizer/BioNTech,3813753
245,Belgium,21/05/2021,Johnson&Johnson,50260
246,Belgium,21/05/2021,Moderna,503123
247,Belgium,21/05/2021,Oxford/AstraZeneca,1368199
248,Belgium,21/05/2021,Pfizer/BioNTech,4182984
249,Belgium,28/05/2021,Johnson&Johnson,74057
250,Belgium,28/05/2021,Moderna,577490
251,Belgium,28/05/2021,Oxford/AstraZeneca,1468191
252,Belgium,28/05/2021,Pfizer/BioNTech,4625180
253,Belgium,4/06/2021,Johnson&Johnson,97880
254,Belgium,4/06/2021,Moderna,653801
255,Belgium,4/06/2021,Oxford/AstraZeneca,1571622
256,Belgium,4/06/2021,Pfizer/BioNTech,5324151
257,Belgium,11/06/2021,Johnson&Johnson,144176
258,Belgium,11/06/2021,Moderna,740146
259,Belgium,11/06/2021,Oxford/AstraZeneca,1758706
260,Belgium,11/06/2021,Pfizer/BioNTech,6077902
261,Belgium,18/06/2021,Johnson&Johnson,213590
262,Belgium,18/06/2021,Moderna,846456
263,Belgium,18/06/2021,Oxford/AstraZeneca,1893687
264,Belgium,18/06/2021,Pfizer/BioNTech,6791182
265,Belgium,25/06/2021,Johnson&Johnson,244579
266,Belgium,25/06/2021,Moderna,959088
267,Belgium,25/06/2021,Oxford/AstraZeneca,1962962
268,Belgium,25/06/2021,Pfizer/BioNTech,7451492
269,Belgium,2/07/2021,Johnson&Johnson,268065
270,Belgium,2/07/2021,Moderna,1042642
271,Belgium,2/07/2021,Oxford/AstraZeneca,2062910
272,Belgium,2/07/2021,Pfizer/BioNTech,7920849
273,Belgium,9/07/2021,Johnson&Johnson,283158
274,Belgium,9/07/2021,Moderna,1104255
275,Belgium,9/07/2021,Oxford/AstraZeneca,2290052
276,Belgium,9/07/2021,Pfizer/BioNTech,8455125
277,Belgium,16/07/2021,Johnson&Johnson,301262
278,Belgium,16/07/2021,Moderna,1158996
279,Belgium,16/07/2021,Oxford/AstraZeneca,2444525
280,Belgium,16/07/2021,Pfizer/BioNTech,8963107
281,Belgium,23/07/2021,Johnson&Johnson,311903
282,Belgium,23/07/2021,Moderna,1212558
283,Belgium,23/07/2021,Oxford/AstraZeneca,2550813
284,Belgium,23/07/2021,Pfizer/BioNTech,9515386
285,Belgium,30/07/2021,Johnson&Johnson,321165
286,Belgium,30/07/2021,Moderna,1243527
287,Belgium,30/07/2021,Oxford/AstraZeneca,2642267
288,Belgium,30/07/2021,Pfizer/BioNTech,10024698
289,Belgium,6/08/2021,Johnson&Johnson,330323
290,Belgium,6/08/2021,Moderna,1267019
291,Belgium,6/08/2021,Oxford/AstraZeneca,2702877
292,Belgium,6/08/2021,Pfizer/BioNTech,10383086
293,Belgium,13/08/2021,Johnson&Johnson,337627
294,Belgium,13/08/2021,Moderna,1284369
295,Belgium,13/08/2021,Oxford/AstraZeneca,2815954
296,Belgium,13/08/2021,Pfizer/BioNTech,10534312
297,Belgium,20/08/2021,Johnson&Johnson,343691
298,Belgium,20/08/2021,Moderna,1295809
299,Belgium,20/08/2021,Oxford/AstraZeneca,2825536
300,Belgium,20/08/2021,Pfizer/BioNTech,10633566
301,Belgium,27/08/2021,Johnson&Johnson,349416
302,Belgium,27/08/2021,Moderna,1303564
303,Belgium,27/08/2021,Oxford/AstraZeneca,2829029
304,Belgium,27/08/2021,Pfizer/BioNTech,10705476
305,Belgium,3/09/2021,Johnson&Johnson,355310
306,Belgium,3/09/2021,Moderna,1312763
307,Belgium,3/09/2021,Oxford/AstraZeneca,2831470
308,Belgium,3/09/2021,Pfizer/BioNTech,10758718
309,Belgium,10/09/2021,Johnson&Johnson,360127
310,Belgium,10/09/2021,Moderna,1319056
311,Belgium,10/09/2021,Oxford/AstraZeneca,2832447
312,Belgium,10/09/2021,Pfizer/BioNTech,10800057
313,Belgium,17/09/2021,Johnson&Johnson,366573
314,Belgium,17/09/2021,Moderna,1324812
315,Belgium,17/09/2021,Oxford/AstraZeneca,2833334
316,Belgium,17/09/2021,Pfizer/BioNTech,10835664
317,Belgium,24/09/2021,Johnson&Johnson,373280
318,Belgium,24/09/2021,Moderna,1328461
319,Belgium,24/09/2021,Oxford/AstraZeneca,2833890
320,Belgium,24/09/2021,Pfizer/BioNTech,10876092
321,Belgium,1/10/2021,Johnson&Johnson,378156
322,Belgium,1/10/2021,Moderna,1333167
